10Kph,,,20Kph,,30kph,,,,,,,,,,,,,,,,,,,70kph,,,,80kph,,,,90kph,,,,100kph,,,,110kph,,,,120kph,,,,130kph,,,,140kph,,
steering_wheel_angle,delta_f,转弯半径,delta_f,转弯半径,delta_f,转弯半径,,,,,,,,,,,,,,,,,,70,理论计算,侧向a,,80,理论计算,侧向a,,90,理论计算,侧向a,,100,理论计算,侧向a,,110,理论计算,侧向a,,120,理论计算,侧向a,,130,理论计算,侧向a,,140,理论计算,侧向a
0.25,0.000261571,10322.23839,0.000253316,10658.62983,0.000240657,11219.28222,,,,,,,,,,,,,,,,,,0.25,15704.50139,0.002456636,,0.25,17386.45857,0.002898263,,0.25,19292.67672,0.003305685,,0.25,21423.15582,0.003675238,,0.25,23777.89588,0.004006645,,0.25,26356.8969,0.00430167,,0.25,29160.15888,0.00456316,,0.25,32187.68181,0.004794411
0.5,0.000523142,5161.119194,0.000506632,5329.314913,0.000481314,5609.641111,,,,,,,,,,,,,,,,,,0.5,7852.250693,0.004913272,,0.5,8693.229286,0.005796526,,0.5,9646.338358,0.00661137,,0.5,10711.57791,0.007350476,,0.5,11888.94794,0.00801329,,0.5,13178.44845,0.008603341,,0.5,14580.07944,0.009126321,,0.5,16093.84091,0.009588823
0.75,0.000784713,3440.746129,0.000759947,3552.876609,0.000721971,3739.76074,,,,,,,,,,,,,,,,,,0.75,5234.833795,0.007369909,,0.75,5795.486191,0.008694788,,0.75,6430.892239,0.009917055,,0.75,7141.05194,0.011025714,,0.75,7925.965294,0.012019935,,0.75,8785.6323,0.012905011,,0.75,9720.052959,0.013689481,,0.75,10729.22727,0.014383234
1,0.001046284,2580.559597,0.001013263,2664.657456,0.000962628,2804.820555,,,,,,,,,,,,,,,,,,1,3926.125346,0.009826545,,1,4346.614643,0.011593051,,1,4823.169179,0.01322274,,1,5355.788955,0.014700952,,1,5944.47397,0.01602658,,1,6589.224225,0.017206682,,1,7290.039719,0.018252642,,1,8046.920453,0.019177645
1.25,0.001307855,2064.447678,0.001266579,2131.725965,0.001203285,2243.856444,,,,,,,,,,,,,,,,,,1.25,3140.900277,0.012283181,,1.25,3477.291714,0.014491314,,1.25,3858.535343,0.016528425,,1.25,4284.631164,0.01837619,,1.25,4755.579176,0.020033225,,1.25,5271.37938,0.021508352,,1.25,5832.031776,0.022815802,,1.25,6437.536363,0.023972057
1.5,0.001569426,1720.373065,0.001519894,1776.438304,0.001443942,1869.88037,,,,,,,,,,,,,,,,,,1.5,2617.416898,0.014739817,,1.5,2897.743095,0.017389577,,1.5,3215.446119,0.019834109,,1.5,3570.52597,0.022051428,,1.5,3962.982647,0.02403987,,1.5,4392.81615,0.025810023,,1.5,4860.02648,0.027378963,,1.5,5364.613636,0.028766468
1.75,0.001830996,1474.605484,0.001773209,1522.661404,0.001684598,1602.754603,,,,,,,,,,,,,,,,,,1.75,2243.500198,0.017196454,,1.75,2483.779796,0.02028784,,1.75,2756.096674,0.023139794,,1.75,3060.450831,0.025726666,,1.75,3396.842269,0.028046515,,1.75,3765.270986,0.030111693,,1.75,4165.736983,0.031942123,,1.75,4598.240259,0.03356088
2,0.002092566,1290.279799,0.002026524,1332.328728,0.001925254,1402.410278,,,,,,,,,,,,,,,,,,2,1963.062673,0.01965309,,2,2173.307321,0.023186103,,2,2411.58459,0.026445479,,2,2677.894477,0.029401905,,2,2972.236985,0.032053161,,2,3294.612113,0.034413364,,2,3645.01986,0.036505284,,2,4023.460227,0.038355291
2.25,0.002354136,1146.915376,0.002279839,1184.292203,0.002165911,1246.586913,,,,,,,,,,,,,,,,,,2.25,1744.944598,0.022109726,,2.25,1931.82873,0.026084365,,2.25,2143.630746,0.029751164,,2.25,2380.350647,0.033077143,,2.25,2641.988431,0.036059806,,2.25,2928.5441,0.038715034,,2.25,3240.017653,0.041068444,,2.25,3576.40909,0.043149702
2.5,0.002615706,1032.223839,0.002533153,1065.862983,0.002406566,1121.928222,,,,,,,,,,,,,,,,,,2.5,1570.450139,0.024566362,,2.5,1738.645857,0.028982628,,2.5,1929.267672,0.033056849,,2.5,2142.315582,0.036752381,,2.5,2377.789588,0.040066451,,2.5,2635.68969,0.043016705,,2.5,2916.015888,0.045631605,,2.5,3218.768181,0.047944114
2.75,0.002877275,938.385308,0.002786467,968.9663478,0.002647222,1019.934747,,,,,,,,,,,,,,,,,,2.75,1427.681944,0.027022998,,2.75,1580.587143,0.031880891,,2.75,1753.879702,0.036362534,,2.75,1947.55962,0.040427619,,2.75,2161.626898,0.044073096,,2.75,2396.081536,0.047318375,,2.75,2650.923534,0.050194765,,2.75,2926.152892,0.052738525
3,0.003138844,860.1865324,0.003039781,888.2191521,0.002887877,934.9401851,,,,,,,,,,,,,,,,,,3,1308.708449,0.029479635,,3,1448.871548,0.034779154,,3,1607.72306,0.039668219,,3,1785.262985,0.044102857,,3,1981.491323,0.048079741,,3,2196.408075,0.051620046,,3,2430.01324,0.054757926,,3,2682.306818,0.057532936
