steering_wheel_angle,,等效转角,,
-470.33 ,-0.436066453,-24.98476734,,13.63004083
-469.75 ,-0.435534496,-24.95428846,,13.63425592
-469.17 ,-0.435003095,-24.92384143,,13.63845921
-468.58 ,-0.434472579,-24.89344507,,13.64263912
-468.00 ,-0.433942945,-24.8630993,,13.64680612
-467.42 ,-0.433413866,-24.83278531,,13.65095343
-466.84 ,-0.432885342,-24.80250313,,13.65508593
-466.26 ,-0.4323577,-24.77227143,,13.65920296
-465.68 ,-0.431830937,-24.74209012,,13.66329903
-465.10 ,-0.431304727,-24.71194057,,13.66738388
-464.52 ,-0.430779396,-24.6818413,,13.67144746
-463.94 ,-0.430254619,-24.65177377,,13.67549955
-463.36 ,-0.429730396,-24.62173802,,13.6795317
-462.78 ,-0.429207049,-24.59175244,,13.68354964
-462.20 ,-0.428683936,-24.56178029,,13.68754978
-461.62 ,-0.428162018,-24.53187659,,13.69153787
-461.04 ,-0.427640336,-24.50198639,,13.69550708
-460.46 ,-0.427119527,-24.47214624,,13.69946319
-459.87 ,-0.426599273,-24.4423379,,13.70340258
-459.29 ,-0.426079891,-24.41257951,,13.7073294
-458.71 ,-0.425560749,-24.38283483,,13.71123844
-458.13 ,-0.425042478,-24.35314008,,13.71513385
-457.55 ,-0.424524448,-24.32345918,,13.71901199
-456.97 ,-0.42400729,-24.2938282,,13.7228804
-456.39 ,-0.423490689,-24.26422912,,13.72672631
-455.81 ,-0.422974645,-24.23466198,,13.73056642
-455.23 ,-0.422459158,-24.20512679,,13.73438624
-454.65 ,-0.421944231,-24.17562361,,13.73819507
-454.07 ,-0.421429862,-24.14615244,,13.74199054
-453.49 ,-0.420916052,-24.11671332,,13.74576703
-452.91 ,-0.420402802,-24.08730627,,13.74953293
-452.33 ,-0.419890113,-24.05793132,,13.75328302
-451.75 ,-0.419377984,-24.02858851,,13.7570223
-451.17 ,-0.41886611,-23.99926029,,13.76074206
-450.58 ,-0.418355105,-23.96998185,,13.76445423
-450.00 ,-0.417844357,-23.94071814,,13.76814837
-449.42 ,-0.417334173,-23.91148675,,13.7718347
-448.84 ,-0.416824553,-23.88228768,,13.77550101
-448.26 ,-0.416315195,-23.85310362,,13.7791593
-447.68 ,-0.415806404,-23.82395203,,13.78280081
-447.10 ,-0.415298179,-23.79483291,,13.78643235
-446.52 ,-0.414790522,-23.7657463,,13.79005115
-445.94 ,-0.414283133,-23.73667503,,13.7936547
-445.36 ,-0.413776313,-23.70763639,,13.79724605
-444.78 ,-0.413270063,-23.67863039,,13.80082624
-444.20 ,-0.412764085,-23.64964,,13.80439071
-443.62 ,-0.412258679,-23.62068237,,13.80794633
-443.04 ,-0.411753548,-23.59174053,,13.81148423
-442.46 ,-0.411248992,-23.56283158,,13.81501487
-441.87 ,-0.410744715,-23.53393861,,13.81853191
-441.29 ,-0.410241013,-23.50507865,,13.82203458
-440.71 ,-0.409737594,-23.47623486,,13.82552599
-440.13 ,-0.409234753,-23.44742419,,13.82900719
-439.55 ,-0.408731905,-23.41861312,,13.83247722
-438.97 ,-0.408229638,-23.38983535,,13.83594126
-438.39 ,-0.407727371,-23.36105754,,13.83939473
-437.81 ,-0.407225397,-23.33229656,,13.84284129
-437.23 ,-0.406723719,-23.30355255,,13.84627847
-436.65 ,-0.40622263,-23.27484221,,13.8497004
-436.07 ,-0.40572155,-23.2461325,,13.85311517
-435.49 ,-0.405221062,-23.21745663,,13.8565197
-434.91 ,-0.40472059,-23.18878171,,13.85991246
-434.33 ,-0.404220712,-23.16014081,,13.8632948
-433.75 ,-0.403721143,-23.13151757,,13.86666704
-433.17 ,-0.403221883,-23.10291211,,13.87002866
-432.58 ,-0.402722652,-23.07430826,,13.87338077
-432.00 ,-0.40222402,-23.04573878,,13.87671684
-431.42 ,-0.401725705,-23.01718744,,13.88004957
-430.84 ,-0.40122771,-22.98865438,,13.8833642
-430.26 ,-0.400730035,-22.96013971,,13.88667534
-429.68 ,-0.400232683,-22.93164355,,13.8899708
-429.10 ,-0.399735656,-22.90316602,,13.89325997
-428.52 ,-0.399238677,-22.87469121,,13.89653516
-427.94 ,-0.398742308,-22.84625134,,13.89980202
-427.36 ,-0.39824627,-22.81783046,,13.90305395
-426.78 ,-0.397750287,-22.78941275,,13.90630267
-426.20 ,-0.397254641,-22.76101434,,13.90953363
-425.62 ,-0.396759611,-22.73265117,,13.91276123
-425.04 ,-0.396264644,-22.70429165,,13.91597353
-424.46 ,-0.395769744,-22.67593598,,13.91917892
-423.87 ,-0.395275465,-22.64761587,,13.92236956
-423.29 ,-0.394781258,-22.61929991,,13.9255558
-422.71 ,-0.394287401,-22.591004,,13.92872831
-422.13 ,-0.393793896,-22.56272824,,13.9318897
-421.55 ,-0.393300744,-22.53447273,,13.93504449
-420.97 ,-0.392807677,-22.50622205,,13.9381853
-420.39 ,-0.392314697,-22.4779764,,13.94131935
-419.81 ,-0.39182235,-22.44976696,,13.94444391
-419.23 ,-0.391330095,-22.42156284,,13.9475542
-418.65 ,-0.390838206,-22.39337965,,13.95065949
-418.07 ,-0.390346415,-22.36520215,,13.9537517
-417.49 ,-0.389854996,-22.33704587,,13.95683677
-416.91 ,-0.389363681,-22.30889562,,13.95991121
-416.33 ,-0.388872742,-22.28076687,,13.96297438
-415.75 ,-0.388381914,-22.2526445,,13.96602874
-415.16 ,-0.387891466,-22.2245439,,13.96907367
-414.58 ,-0.387401135,-22.19645002,,13.97211036
-414.00 ,-0.386910926,-22.16836308,,13.97513399
-413.42 ,-0.386421104,-22.14029835,,13.97814997
-412.84 ,-0.385931671,-22.11225593,,13.98115748
-412.26 ,-0.385442368,-22.08422091,,13.98415442
-411.68 ,-0.384953197,-22.0561935,,13.98714074
-411.10 ,-0.384464163,-22.0281739,,13.99012038
-410.52 ,-0.383975528,-22.0001772,,13.99308924
-409.94 ,-0.383486776,-21.97217379,,13.99605201
-409.36 ,-0.382998689,-21.94420842,,13.99899904
-408.78 ,-0.382510491,-21.91623674,,14.00194392
-408.20 ,-0.382022703,-21.88828854,,14.00487288
-407.62 ,-0.381534812,-21.86033449,,14.00779752
-407.04 ,-0.381047338,-21.83240424,,14.01070813
-406.46 ,-0.380560024,-21.80448324,,14.01361428
-405.87 ,-0.380072876,-21.77657168,,14.01650901
-405.29 ,-0.379586149,-21.74868432,,14.01939638
-404.71 ,-0.37909934,-21.72079219,,14.02227217
-404.13 ,-0.378612705,-21.69291007,,14.02514045
-403.55 ,-0.378126501,-21.66505262,,14.02799909
-402.97 ,-0.377640225,-21.63719106,,14.03084797
-402.39 ,-0.377154385,-21.60935448,,14.03368989
-401.81 ,-0.376668481,-21.58151423,,14.03652119
-401.23 ,-0.376183018,-21.55369926,,14.03934327
-400.65 ,-0.375697499,-21.52588106,,14.0421567
-400.07 ,-0.375212177,-21.49807418,,14.04495865
-399.49 ,-0.374727305,-21.47029302,,14.04775675
-398.91 ,-0.374242387,-21.44250929,,14.05054038
