X,Y,PHI
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.0036127,0,0
0.00882449,0,0
0.0148172,0,0
0.0192497,0,0
0.0255178,0,0
0.0312804,0,0
0.038155,0,0
0.0449743,0,0
0.0522852,0,0
0.0614515,0,0
0.0679234,0,0
0.0778187,0,0
0.0883216,0,0
0.094232,0,0
0.103199,0,0
0.112916,0,0
0.122994,0,0
0.141451,0,0
0.14362,0,0
0.155301,0,0
0.165836,0,0
0.182696,0,0
0.196925,0,0
0.20105,0,0
0.213753,0,0
0.227211,0,0
0.239346,0,0
0.252814,0,0
0.267046,0,0
0.280378,0,0
0.294688,0,0
0.312815,0,0
0.331664,0,0
0.338712,0,0
0.354975,0,0
0.369623,0,0
0.387635,0,0
0.401875,0,0
0.418742,0,0
0.43498,0,0
0.452257,0,0
0.472276,0,0
0.494962,0,0
0.505377,0,0
0.522214,0,0
0.540806,0,0
0.560182,0,0
0.577558,0,0
0.599201,0,0
