X,Y,PHI
0,0,-6.99083e-07
0,0,-3.08444e-06
0,0,-5.41094e-06
0,0,4.74632e-06
0,0,1.74786e-05
0,0,2.29246e-05
0,0,2.63934e-05
0,0,2.63996e-05
0,0,2.64553e-05
0,0,2.64827e-05
0,0,2.64948e-05
0,0,2.64956e-05
0,0,2.64961e-05
0,0,2.64963e-05
0,0,2.64963e-05
0,0,2.64963e-05
0,0,2.64963e-05
0,0,3.31138e-05
0,0,3.76603e-05
0,0,3.97112e-05
0,0,3.99445e-05
0,0,3.99767e-05
0,0,4.00003e-05
0,0,4.00058e-05
0,0,4.00074e-05
0,0,4.00078e-05
0,0,4.00079e-05
0,0,4.0008e-05
0,0,4.0008e-05
0,0,4.0008e-05
0,0,2.67721e-05
0,0,2.25013e-05
0,0,2.16297e-05
0,0,2.12987e-05
0,0,2.12216e-05
0,0,2.1199e-05
0,0,2.1193e-05
0,0,2.11913e-05
0,0,2.11909e-05
0,0,2.11908e-05
0,0,2.11907e-05
0,0,2.6188e-05
0,0,4.67754e-05
0,0,5.25297e-05
0,0,5.39325e-05
0,0,5.44927e-05
0,0,5.4552e-05
0,0,5.45788e-05
0,0,5.45862e-05
0,0,5.45883e-05
0,0,5.45889e-05
0,0,6.76173e-05
0,0,7.18325e-05
0,0,7.30696e-05
0,0,7.33568e-05
0,0,7.34589e-05
0,0,7.34755e-05
0,0,7.34813e-05
0,0,7.34835e-05
0,0,7.34838e-05
0,0,7.34839e-05
0,0,7.3484e-05
0,0,7.3484e-05
0,0,7.3484e-05
0,0,7.3484e-05
0,0,7.3484e-05
0,0,7.3484e-05
0,0,7.3484e-05
0,0,7.3484e-05
0,0,7.3484e-05
0,0,7.3484e-05
0,0,7.3484e-05
0,0,5.5567e-05
0,0,3.74745e-05
0,0,3.21645e-05
0,0,3.00793e-05
0,0,2.98449e-05
0,0,2.9741e-05
0,0,2.97137e-05
0,0,5.25165e-05
0,0,5.72445e-05
0,0,5.83037e-05
0,0,5.84742e-05
0,0,5.8554e-05
0,0,5.8587e-05
0,0,5.85932e-05
0,0,5.8594e-05
0,0,5.85945e-05
0,0,5.85946e-05
0,0,5.85946e-05
0,0,8.14569e-05
0,0,8.39495e-05
0,0,8.50915e-05
0,0,8.53982e-05
0,0,8.54829e-05
0,0,8.55176e-05
0,0,8.55201e-05
0,0,8.55217e-05
0,0,8.55221e-05
0,0,8.55222e-05
0,0,8.55223e-05
0,0,8.55223e-05
0,0,8.55223e-05
0,0,8.55223e-05
0,0,8.55223e-05
0,0,8.55223e-05
0,0,8.55223e-05
0,0,8.55223e-05
0.0036127,3.08966e-07,8.55223e-05
0.00882449,7.54691e-07,8.55223e-05
0.0148172,1.2672e-06,8.55223e-05
0.0192497,1.64628e-06,8.55223e-05
0.0255178,2.18234e-06,8.55223e-05
0.0312804,2.67517e-06,8.55223e-05
0.038155,3.2631e-06,8.55223e-05
0.0449743,3.8463e-06,8.55223e-05
0.0522852,4.47155e-06,8.55223e-05
0.0614515,5.25547e-06,8.55223e-05
0.0679234,5.80896e-06,8.55223e-05
0.0778187,6.65523e-06,8.55223e-05
0.0883216,7.55346e-06,8.55223e-05
0.094232,8.05894e-06,8.55223e-05
0.103199,8.82583e-06,8.55223e-05
0.112916,9.65684e-06,8.55223e-05
0.122994,1.05187e-05,8.55223e-05
0.141451,1.20972e-05,8.55223e-05
0.14362,1.22827e-05,8.55223e-05
0.155301,1.32817e-05,8.55223e-05
0.165836,1.41827e-05,8.55223e-05
0.182696,1.56246e-05,8.55223e-05
0.196925,1.68415e-05,8.55223e-05
0.20105,1.71943e-05,8.55223e-05
0.213753,1.82806e-05,8.55223e-05
0.227211,1.94316e-05,8.55223e-05
0.239346,2.04694e-05,8.55223e-05
0.252814,2.16212e-05,8.55223e-05
0.267046,2.28384e-05,6.89501e-05
0.280378,2.37576e-05,4.96324e-05
0.294688,2.44679e-05,2.81242e-05
0.312815,2.49777e-05,2.0955e-05
0.331664,2.53726e-05,1.89929e-05
0.338712,2.55065e-05,1.88008e-05
0.354975,2.58123e-05,1.8684e-05
0.369623,2.6086e-05,3.36282e-05
0.387635,2.66917e-05,3.84714e-05
0.401875,2.72395e-05,3.94808e-05
0.418742,2.79054e-05,2.34611e-05
0.43498,2.82864e-05,3.91316e-06
0.452257,2.8354e-05,-1.79031e-05
0.472276,2.79956e-05,-4.30492e-05
0.494962,2.7019e-05,-7.12335e-05
0.505377,2.62771e-05,-8.40599e-05
0.522214,2.48617e-05,-0.000104501
