X,Y,PHI
0,0,-7.36401e-07
0,0,-3.57733e-06
0,0,-6.42335e-06
0,0,6.38604e-06
0,0,2.29179e-05
0,0,3.01388e-05
0,0,3.47959e-05
0,0,3.48043e-05
0,0,3.48798e-05
0,0,3.49171e-05
0,0,3.49335e-05
0,0,3.49345e-05
0,0,3.49353e-05
0,0,3.49355e-05
0,0,3.49355e-05
0,0,3.49355e-05
0,0,3.49355e-05
0,0,4.39338e-05
0,0,5.01158e-05
0,0,5.29045e-05
0,0,5.32218e-05
0,0,5.32656e-05
0,0,5.32976e-05
0,0,5.33051e-05
0,0,5.33073e-05
0,0,5.33079e-05
0,0,5.3308e-05
0,0,5.33081e-05
0,0,5.33081e-05
0,0,5.33081e-05
0,0,3.53105e-05
0,0,2.95033e-05
0,0,2.83181e-05
0,0,2.7868e-05
0,0,2.77632e-05
0,0,2.77325e-05
0,0,2.77243e-05
0,0,2.7722e-05
0,0,2.77215e-05
0,0,2.77213e-05
0,0,2.77212e-05
0,0,3.45163e-05
0,0,6.25102e-05
0,0,7.03347e-05
0,0,7.22422e-05
0,0,7.30039e-05
0,0,7.30845e-05
0,0,7.31209e-05
0,0,7.3131e-05
0,0,7.31338e-05
0,0,7.31347e-05
0,0,9.08501e-05
0,0,9.65818e-05
0,0,9.82639e-05
0,0,9.86545e-05
0,0,9.87933e-05
0,0,9.88158e-05
0,0,9.88238e-05
0,0,9.88268e-05
0,0,9.88271e-05
0,0,9.88273e-05
0,0,9.88274e-05
0,0,9.88274e-05
0,0,9.88274e-05
0,0,9.88274e-05
0,0,9.88274e-05
0,0,9.88274e-05
0,0,9.88274e-05
0,0,9.88274e-05
0,0,9.88274e-05
0,0,9.88274e-05
0,0,9.88274e-05
0,0,7.44647e-05
0,0,4.98631e-05
0,0,4.26429e-05
0,0,3.98075e-05
0,0,3.94889e-05
0,0,3.93475e-05
0,0,3.93103e-05
0,0,7.03167e-05
0,0,7.67457e-05
0,0,7.81859e-05
0,0,7.84177e-05
0,0,7.85263e-05
0,0,7.85711e-05
0,0,7.85795e-05
0,0,7.85807e-05
0,0,7.85812e-05
0,0,7.85814e-05
0,0,7.85815e-05
0,0,0.000109669
0,0,0.000113058
0,0,0.000114611
0,0,0.000115028
0,0,0.000115143
0,0,0.00011519
0,0,0.000115194
0,0,0.000115196
0,0,0.000115196
0,0,0.000115196
0,0,0.000115197
0,0,0.000115197
0,0,0.000115197
0,0,0.000115197
0,0,0.000115197
0,0,0.000115197
0,0,0.000115197
0,0,0.000115197
0.0036127,4.1617e-07,0.000115197
0.00882449,1.01655e-06,0.000115197
0.0148172,1.70689e-06,0.000115197
0.0192497,2.2175e-06,0.000115197
0.0255178,2.93956e-06,0.000115197
0.0312804,3.60339e-06,0.000115197
0.038155,4.39533e-06,0.000115197
0.0449743,5.18088e-06,0.000115197
0.0522852,6.02307e-06,0.000115197
0.0614515,7.079e-06,0.000115197
0.0679234,7.82454e-06,0.000115197
0.0778187,8.96444e-06,0.000115197
0.0883216,1.01743e-05,0.000115197
0.094232,1.08552e-05,0.000115197
0.103199,1.18882e-05,0.000115197
0.112916,1.30075e-05,0.000115197
0.122994,1.41685e-05,0.000115197
0.141451,1.62947e-05,0.000115197
0.14362,1.65445e-05,0.000115197
0.155301,1.78901e-05,0.000115197
0.165836,1.91038e-05,0.000115197
0.182696,2.1046e-05,0.000115197
0.196925,2.26851e-05,0.000115197
0.20105,2.31603e-05,0.000115197
0.213753,2.46236e-05,0.000115197
0.227211,2.6174e-05,0.000115197
0.239346,2.75718e-05,0.000115197
0.252814,2.91233e-05,0.000115197
0.267046,3.07628e-05,9.26624e-05
0.280378,3.19981e-05,6.6395e-05
0.294688,3.29483e-05,3.71491e-05
0.312815,3.36217e-05,2.74007e-05
0.331664,3.41381e-05,2.47326e-05
