time_stamp,steering_wheel_angle,speed,yaw_rate,lateral_acc,duration
3152776158,-1.5,0,0,-0.1875,3112.64
3152777039,-1.5,0,-0.00109083,-0.1875,0.000881
3152788244,-1.5,0,0,-0.09375,0.011205
3152829026,-1.5,0,0,0,0.040782
3152841994,-1.5,0,0.00109083,0,0.012968
3152854620,-1.5,0,0.00109083,0,0.012626
3152874775,-1.5,0,0,0,0.020155
3152922686,-1.5,0,0,-0.09375,0.047911
3152923008,-1.5,0,0,-0.09375,0.000322
3152933720,-1.5,0,0,-0.1875,0.010712
3152953410,-1.5,0,0,-0.1875,0.01969
3152985893,-1.5,0,0,-0.1875,0.032483
3152993249,-1.5,0,0,-0.09375,0.007356
3153013046,-1.5,0,0,-0.09375,0.019797
3153033275,-1.5,0,0,-0.1875,0.020229
3153053439,-1.5,0,0,-0.09375,0.020164
3153075065,-1.5,0,0,-0.09375,0.021626
3153104795,-1.5,0,0,-0.09375,0.02973
3153113082,-1.5,0,0.00109083,-0.09375,0.008287
3153134330,-1.5,0,0,-0.09375,0.021248
3153170102,-1.5,0,0,-0.09375,0.035772
3153185289,-1.5,0,0,-0.09375,0.015187
3153193125,-1.5,0,0,-0.09375,0.007836
3153214467,-1.5,0,0,-0.09375,0.021342
3153233167,-1.5,0,0,-0.09375,0.0187
3153253283,-1.5,0,0,-0.09375,0.020116
3153273540,-1.5,0,0,-0.09375,0.020257
3153293085,-1.5,0,0,-0.09375,0.019545
3153314140,-1.5,0,0,-0.09375,0.021055
3153333168,-1.5,0,0,-0.09375,0.019028
3153361132,-1.5,0,0,-0.09375,0.027964
3153377707,-1.5,0,-0.00109083,-0.09375,0.016575
3153397667,-1.5,0,0,-0.09375,0.01996
3153412869,-1.5,0,0,-0.09375,0.015202
3153434417,-1.5,0,0,-0.09375,0.021548
3153453136,-1.5,0,0,-0.1875,0.018719
3153473632,-1.5,0,0,-0.09375,0.020496
3153493910,-1.5,0,0,-0.09375,0.020278
3153516097,-1.5,0,0,-0.09375,0.022187
3153532884,-1.5,0,0,-0.09375,0.016787
3153558276,-1.5,0,0,-0.09375,0.025392
3153586582,-1.5,0,0,-0.09375,0.028306
3153592840,-1.5,0,0.00109083,-0.09375,0.006258
3153613173,-1.5,0,0.00109083,-0.09375,0.020333
3153634383,-1.5,0,0,-0.09375,0.02121
3153653680,-1.5,0,0,-0.09375,0.019297
3153682440,-1.5,0,0,-0.09375,0.02876
3153693796,-1.5,0,0,-0.09375,0.011356
3153712953,-1.5,0,0,-0.09375,0.019157
3153732706,-1.5,0,0,-0.09375,0.019753
3153753164,-1.5,0,0,-0.09375,0.020458
3153776793,-1.5,0,0,-0.09375,0.023629
3153793108,-1.5,0,0.00109083,-0.09375,0.016315
3153812808,-1.5,0,0,-0.09375,0.0197
3153834385,-1.5,0,0,-0.09375,0.021577
3153853082,-1.5,0,0,-0.09375,0.018697
3153877895,-1.5,0,0,-0.09375,0.024813
3153892881,-1.5,0,0,-0.09375,0.014986
3153912724,-1.5,0,0,-0.09375,0.019843
3153940457,-1.5,0,0,-0.09375,0.027733
3153953018,-1.5,0,0,-0.09375,0.012561
3153976061,-1.5,0,0,-0.09375,0.023043
3153996421,-1.5,0,0,-0.09375,0.02036
3154012682,-1.5,0,0,-0.09375,0.016261
3154032682,-1.5,0,0,-0.09375,0.02
3154054089,-1.5,0,0,-0.09375,0.021407
3154076270,-1.5,0,0,-0.09375,0.022181
3154096146,-1.5,0,0,-0.09375,0.019876
3154114090,-1.5,0,0,-0.1875,0.017944
3154132632,-1.5,0,0,-0.1875,0.018542
3154153360,-1.5,0,0,-0.09375,0.020728
3154179217,-1.5,0,0,-0.09375,0.025857
3154192685,-1.5,0,0,-0.09375,0.013468
3154215122,-1.5,0,-0.00109083,-0.09375,0.022437
3154232991,-1.5,0,-0.00109083,-0.09375,0.017869
3154252563,-1.5,0,0,-0.09375,0.019572
3154281248,-1.5,0,0,-0.09375,0.028685
3154293278,-1.5,0,0,-0.09375,0.01203
3154313196,-1.5,0,0,-0.09375,0.019918
3154332739,-1.5,0,0,-0.09375,0.019543
3154361308,-1.5,0,0.00109083,-0.09375,0.028569
3154383415,-1.5,0,0,-0.09375,0.022107
3154401898,-1.5,0,0,-0.09375,0.018483
3154412998,-1.5,0,0,-0.09375,0.0111
3154432413,-1.5,0,0,-0.09375,0.019415
3154462334,-1.5,0,0,-0.09375,0.029921
3154483216,-1.5,0,0,-0.09375,0.020882
3154493750,-1.5,0,0,-0.09375,0.010534
3154513287,-1.5,0,0,-0.09375,0.019537
3154538288,-1.5,0,0,-0.09375,0.025001
3154552366,-1.5,0,0,-0.09375,0.014078
3154580996,-1.5,0,0.00109083,-0.09375,0.02863
3154592645,-1.5,0,0,-0.09375,0.011649
3154612565,-1.5,0,0,-0.1875,0.01992
3154632526,-1.5,0,0,-0.1875,0.019961
3154653117,-1.5,0,0,-0.1875,0.020591
3154684594,-1.5,0,0,-0.1875,0.031477
3154692790,-1.5,0,0,-0.1875,0.008196
3154712907,-1.5,0,0,-0.1875,0.020117
3154732519,-1.5,0,0,-0.1875,0.019612
3154758876,-1.5,0,0,-0.1875,0.026357
3154784507,-1.5,0,0,-0.1875,0.025631
3154792297,-1.5,0,0,-0.09375,0.00779
3154813250,-1.5,0,0,-0.09375,0.020953
3154833776,-1.5,0,0,-0.09375,0.020526
3154852656,-1.5,0,0,-0.09375,0.01888
3154873403,-1.5,0,0,-0.09375,0.020747
3154892634,-1.5,0,0,-0.09375,0.019231
3154913708,-1.5,0,0,-0.09375,0.021074
3154932205,-1.5,0.195312,0,-0.09375,0.018497
3154954442,-1.5,0.234375,0,-0.09375,0.022237
3154977454,-1.5,0.260417,0,-0.09375,0.023012
3154993411,-1.5,0.277778,0,-0.09375,0.015957
3155014341,-1.5,0.299478,0,-0.09375,0.02093
3155032283,-1.5,0.321181,0,-0.09375,0.017942
3155053124,-1.5,0.329861,0,-0.09375,0.020841
3155072521,-1.5,0.351561,0,-0.09375,0.019397
3155092338,-1.5,0.368922,0,-0.09375,0.019817
3155116337,-1.5,0.381944,0,-0.09375,0.023999
3155132200,-1.5,0.407986,0,-0.09375,0.015863
3155155704,-1.5,0.421006,0,-0.09375,0.023504
3155180147,-1.5,0.429689,0,-0.09375,0.024443
3155193241,-1.5,0.451389,0,-0.09375,0.013094
3155212371,-1.5,0.46875,0,-0.09375,0.01913
3155232360,-1.5,0.486111,0,-0.09375,0.019989
3155252551,-1.5,0.499133,0,-0.09375,0.020191
3155288286,-1.5,0.516494,0,-0.09375,0.035735
3155292382,-1.5,0.529514,0,-0.09375,0.004096
