1.16,0.001007107,0.057702974,10Kph,,,20Kph,,,30kph,,,40kph,,
1.74,0.001834802,0.105126423,1.5,0.001569426,0.089921472,1.5,0.001519894,0.087083512,1.5,0.001443942,0.082731762,1.5,0.001349527,0.077322221
2.32,0.002592757,0.148554056,1.75,0.001830996,0.104908352,1.75,0.001773209,0.101597402,1.75,0.001684598,0.096520364,1.75,0.001574448,0.090209238
2.9,0.003321705,0.190319702,2,0.002092566,0.119895219,2,0.002026524,0.116111279,2,0.001925254,0.110308956,2,0.001799369,0.103096246
3.48,0.004035831,0.231236087,2.25,0.002354136,0.134882069,2.25,0.002279839,0.130625142,2.25,0.002165911,0.124097535,2.25,0.002024289,0.115983244
4.06,0.004741365,0.27166022,2.5,0.002615706,0.149868901,2.5,0.002533153,0.145138987,2.5,0.002406566,0.137886099,2.5,0.00224921,0.128870229
4.64,0.005441476,0.311773637,2.75,0.002877275,0.164855712,2.75,0.002786467,0.159652814,2.75,0.002647222,0.151674648,2.75,0.00247413,0.141757202
5.23,0.006137947,0.351678471,3,0.003138844,0.1798425,3,0.003039781,0.174166621,3,0.002887877,0.165463178,3,0.00269905,0.154644161
5.81,0.006831857,0.391436558,3.25,0.003400412,0.194829264,3.25,0.003293094,0.188680405,3.25,0.003128532,0.17925169,3.25,0.002923969,0.167531103
6.39,0.007523896,0.431087458,3.5,0.00366198,0.209816001,3.5,0.003546407,0.203194165,3.5,0.003369187,0.193040181,3.5,0.003148889,0.180418029
6.97,0.008214527,0.470657713,3.75,0.003923547,0.22480271,3.75,0.00379972,0.217707899,3.75,0.003609841,0.20682865,3.75,0.003373808,0.193304937
7.55,0.008904074,0.510165884,4,0.004185114,0.239789388,4,0.004053032,0.232221605,4,0.003850495,0.220617094,4,0.003598726,0.206191825
8.13,0.009592769,0.549625204,4.25,0.004446681,0.254776033,4.25,0.004306343,0.246735281,4.25,0.004091148,0.234405513,4.25,0.003823644,0.219078692
8.71,0.010280783,0.589045469,4.5,0.004708246,0.269762643,4.5,0.004559654,0.261248925,4.5,0.004331801,0.248193905,4.5,0.004048562,0.231965537
9.29,0.010968241,0.628433902,4.75,0.004969811,0.284749216,4.75,0.004812964,0.275762536,4.75,0.004572453,0.261982268,4.75,0.00427348,0.244852358
9.87,0.011655243,0.667796244,5,0.005231376,0.29973575,5,0.005066274,0.290276112,5,0.004813105,0.275770601,5,0.004498397,0.257739155
10.45,0.012341867,0.707136899,5.25,0.005492939,0.314722244,5.25,0.005319583,0.30478965,5.25,0.005053756,0.289558902,5.25,0.004723313,0.270625926
11.03,0.013028173,0.746459324,5.5,0.005754502,0.329708694,5.5,0.005572891,0.319303149,5.5,0.005294407,0.303347169,5.5,0.00494823,0.283512669
11.61,0.01371421,0.785766325,5.75,0.006016064,0.344695099,5.75,0.005826199,0.333816607,5.75,0.005535057,0.317135401,5.75,0.005173145,0.296399384
12.19,0.014400016,0.82506016,6,0.006277626,0.359681457,6,0.006079506,0.348330023,6,0.005775706,0.330923597,6,0.00539806,0.309286068
12.77,0.015085626,0.864342716,6.25,0.006539186,0.374667765,6.25,0.006332812,0.362843394,6.25,0.006016355,0.344711754,6.25,0.005622975,0.322172721
13.35,0.015771065,0.90361547,6.5,0.006800746,0.389654023,6.5,0.006586117,0.377356718,6.5,0.006257003,0.358499871,6.5,0.005847889,0.335059342
13.94,0.016456358,0.942879846,6.75,0.007062304,0.404640227,6.75,0.006839422,0.391869993,6.75,0.00649765,0.372287947,6.75,0.006072802,0.347945929
14.52,0.017141521,0.982136785,7,0.007323862,0.419626376,7,0.007092725,0.406383219,7,0.006738297,0.38607598,7,0.006297715,0.360832481
