yaw_rate_const,yaw_rate_const_kf,yaw_rate,yaw_rate_kf,yaw_rate_MOKF
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,-0.0042586,-0.00043496,-0.0002735
0,0,-0.0042586,-0.000851138,-0.000570692
0,0,0,-0.000753991,-0.000540414
0,0,0,-0.000664815,-0.000509891
0,0,-0.0042586,-0.00110137,-0.000903973
0,0,-0.0042586,-0.00149268,-0.00131038
0,0,-0.0042586,-0.00184072,-0.00172685
0,0,-0.0042586,-0.00214844,-0.0021519
0,0,0,-0.00187266,-0.0020008
0,0,0,-0.00163071,-0.00185715
0,0,-0.0042586,-0.00197189,-0.0023923
0,0,-0.0042586,-0.00226985,-0.0029322
0,0,0,-0.00197326,-0.00271313
0,0,0,-0.00171489,-0.00250862
0,0,0,-0.00149,-0.00231779
0,0,0,-0.00129436,-0.00213958
0,0,-0.0042586,-0.00168391,-0.00295486
0,0,-0.0042586,-0.00202249,-0.00376234
0,0,-0.0042586,-0.0023167,-0.0045606
0,0,0,-0.00201177,-0.00418172
0,0,0,-0.0017469,-0.00382413
0,0,0,-0.00151686,-0.00348658
0,0,-0.0042586,-0.00187797,-0.00451759
0,0,-0.0042586,-0.00219156,-0.00549817
0,0,-0.00851721,-0.00302488,-0.00788588
0,0,-0.00851721,-0.00374847,-0.010118
0,0,-0.0042586,-0.00381568,-0.0106256
0,0,0,-0.00331294,-0.00948517
0,0,0,-0.00287642,-0.00843957
0,0,-0.0042586,-0.00305854,-0.0091687
0,0,-0.0042586,-0.00321667,-0.00982481
0,0,-0.0042586,-0.00335396,-0.0104115
0,0,0,-0.00291201,-0.00916679
0,0,-0.0042586,-0.00308945,-0.00984273
0,0,-0.0042586,-0.00324351,-0.0104401
0,0,-0.0042586,-0.00337728,-0.0109661
0,0,0,-0.00293224,-0.00959215
0,0,0,-0.00254585,-0.00838084
0,0,0,-0.00221037,-0.00731539
0,0,0,-0.0019191,-0.00638011
0,0,-0.0042586,-0.00222739,-0.00743322
0,0,-0.0042586,-0.00249505,-0.00835316
0,0,0,-0.00216627,-0.00727199
0,0,0,-0.00188081,-0.00632804
0,0,0,-0.00163297,-0.00550463
0,0,0,-0.00141778,-0.00478689
0,0,0,-0.00123096,-0.00416166
0,0,0,-0.00106875,-0.00361731
0,0,0,-0.000927914,-0.00314359
0,0,0,-0.000805639,-0.00273149
0,0,-0.0042586,-0.00126065,-0.00427701
0,0,-0.0042586,-0.0016557,-0.00562039
0,0,-0.0042586,-0.0019987,-0.00678783
0,0,-0.0042586,-0.0022965,-0.00780218
0,0,0,-0.00199388,-0.00677622
0,0,0,-0.00173114,-0.00588486
0,0,-0.0042586,-0.00206419,-0.00701863
0,0,0,-0.00179218,-0.00609489
0,0,0,-0.00155602,-0.00529256
0,0,0,-0.00135098,-0.00459573
0,0,0,-0.00117295,-0.00399056
0,0,-0.0042586,-0.00157956,-0.0053744
0,0,-0.0042586,-0.00193259,-0.00657606
0,0,-0.0042586,-0.0022391,-0.0076195
0,0,-0.0042586,-0.00250522,-0.00852553
0,0,0,-0.0021751,-0.00740241
0,0,0,-0.00188847,-0.00642719
0,0,0,-0.00163962,-0.00558042
0,0,0,-0.00142356,-0.00484518
0,0,0,-0.00123597,-0.0042068
0,0,0,-0.0010731,-0.00365251
0,0,0,-0.000931695,-0.00317125
0,0,0,-0.000808921,-0.00275339
0,0,-0.0042586,-0.0012635,-0.00430073
0,0,-0.0042586,-0.00165818,-0.00564419
0,0,-0.0042586,-0.00200085,-0.00681063
0,0,-0.0042586,-0.00229836,-0.00782338
0,0,-0.0042586,-0.00255667,-0.00870268
0,0,-0.0042586,-0.00278094,-0.00946611
0,0,0.0042586,-0.00185331,-0.00630854
0,0,0.0042586,-0.00104792,-0.00356705
0,0,0,-0.000909828,-0.00309701
0,0,0,-0.000789936,-0.00268891
0,0,0,-0.000685843,-0.00233458
0,0,-0.0042586,-0.00115664,-0.00393717
0,0,-0.0042586,-0.0015654,-0.00532857
0,0,-0.0042586,-0.0019203,-0.00653663
0,0,-0.0042586,-0.00222843,-0.0075855
0,0,-0.0042586,-0.00249595,-0.00849616
0,0,0,-0.00216705,-0.00737658
0,0,0,-0.00188149,-0.00640454
0,0,0,-0.00163355,-0.00556059
0,0,0,-0.00141829,-0.00482785
0,0,0,-0.0012314,-0.00419166
0,0,0,-0.00106913,-0.00363931
0,0,0,-0.000928248,-0.00315974
0,0,0,-0.000805928,-0.00274337
0,0,0,-0.000699728,-0.00238186
0,0,0,-0.000607521,-0.00206799
0,0,-0.0042586,-0.00108864,-0.00370572
0,0,-0.0042586,-0.00150636,-0.00512763
0,0,0,-0.00130786,-0.00445194
0,0,0,-0.00113552,-0.00386529
0,0,-0.0042586,-0.00154706,-0.00526617
0,0,-0.0042586,-0.00190437,-0.00648246
0,0,0,-0.00165343,-0.00562824
0,0,0,-0.00143555,-0.00488658
0,0,-0.0042586,-0.00180755,-0.00615288
0,0,-0.0042586,-0.00213054,-0.00725232
0,0,-0.0042586,-0.00241096,-0.00820689
0,0,0,-0.00209326,-0.00712543
0,0,-0.0042586,-0.0023786,-0.00809671
0,0,-0.0042586,-0.00262633,-0.00894
0,0,-0.0042586,-0.00284143,-0.00967217
0,0,-0.0042586,-0.00302817,-0.0103079
0,0,-0.0042586,-0.00319031,-0.0108598
0,0,-0.0042586,-0.00333109,-0.011339
0,0,-0.0042586,-0.00345331,-0.011755
0,0,-0.0042586,-0.00355943,-0.0121162
0,0,0,-0.00309038,-0.0105196
0,0,0,-0.00268315,-0.00913341
0,0,0,-0.00232958,-0.00792986
