speed_f,yaw_rate_f,longitude_acc_f,lateral_acc_f,X_f,Y_f,PHI_f
8.15453,-0.040347,0.778685,-0.0983156,4.17649e-80,0.0047538,-2.35223e-05
8.17363,-0.0403586,0.779798,-0.237271,0.00203053,0.00476947,-3.35784e-05
8.17728,-0.0397419,0.779856,-0.260153,0.00501401,0.00477337,-4.75731e-05
8.19768,-0.0390101,0.779929,-0.294672,0.00670675,0.00480139,-5.47756e-05
8.21081,-0.0390092,0.779929,-0.294675,0.143743,0.00479393,-0.000705853
8.22871,-0.0390096,0.780376,-0.294677,0.3303,0.00466403,-0.00159027
8.24294,-0.0390106,0.780386,-0.294686,0.472617,0.00445168,-0.00226387
8.25917,-0.0390156,0.781448,-0.294692,0.63797,0.00409369,-0.00304508
8.27565,-0.0390168,0.782742,-0.294699,0.805828,0.00360566,-0.00383656
8.292,-0.0390183,0.78434,-0.29471,0.970199,0.00301272,-0.00461014
8.30874,-0.0390271,0.786117,-0.294722,1.13729,0.00229489,-0.00539543
8.32576,-0.0390289,0.787965,-0.294737,1.31035,0.00140234,-0.00620684
8.34234,-0.0390312,0.790416,-0.294751,1.46783,0.000548777,-0.00694393
8.36165,-0.039025,0.792176,-0.294764,1.66308,-0.000739645,-0.00785493
8.37735,-0.0390283,0.798727,-0.294787,1.81211,-0.00178239,-0.00854965
8.39334,-0.0390038,0.801366,-0.294814,1.9703,-0.00304952,-0.00928272
8.41017,-0.0390068,0.80358,-0.294837,2.14411,-0.00464403,-0.0100892
8.42663,-0.0390104,0.802778,-0.294864,2.30963,-0.00622748,-0.0108559
8.44323,-0.0390602,0.805436,-0.294891,2.47595,-0.00795021,-0.0116313
8.4608,-0.0390947,0.804616,-0.294912,2.64539,-0.00971661,-0.0124187
8.47944,-0.0391731,0.807221,-0.294931,2.8235,-0.0116972,-0.0132523
8.49736,-0.0392329,0.810415,-0.294954,2.98468,-0.0134627,-0.0140055
8.51626,-0.0393251,0.813301,-0.294976,3.15434,-0.0154249,-0.0148035
8.53647,-0.0393929,0.812374,-0.294996,3.33445,-0.017569,-0.015646
8.55708,-0.0394301,0.815509,-0.295013,3.50614,-0.0195349,-0.016444
8.57802,-0.0394478,0.81867,-0.29503,3.67635,-0.0215058,-0.0172305
8.59503,-0.0394213,0.821404,-0.295056,3.84147,-0.0241461,-0.0179831
8.61286,-0.0393958,0.823971,-0.295081,4.01094,-0.0269052,-0.0187534
8.63377,-0.0393486,0.822512,-0.295106,4.18354,-0.0292175,-0.0195308
8.65641,-0.0393029,0.821379,-0.295123,4.36008,-0.0314201,-0.0203233
8.6721,-0.039253,0.819233,-0.29515,4.52949,-0.0348987,-0.021079
8.68505,-0.0392061,0.821152,-0.295176,4.70484,-0.0394262,-0.0218594
8.69695,-0.0391343,0.818468,-0.295211,4.87954,-0.0442293,-0.0226279
8.71483,-0.039035,0.816764,-0.295239,5.05184,-0.0476973,-0.0233752
8.73357,-0.0389429,0.815303,-0.295265,5.23093,-0.0513771,-0.0241504
8.75162,-0.038878,0.813804,-0.295284,5.4137,-0.0555116,-0.0249456
8.76631,-0.03875,0.811823,-0.295305,5.58588,-0.060073,-0.0256717
8.78019,-0.0386243,0.809831,-0.295327,5.75877,-0.0649852,-0.0263968
8.79462,-0.0384415,0.808028,-0.29535,5.93074,-0.0698313,-0.0270956
8.8098,-0.0382353,0.806443,-0.295372,6.10414,-0.0746673,-0.027787
8.82683,-0.0380121,0.805226,-0.295386,6.28136,-0.0793265,-0.0284826
8.84294,-0.0377923,0.80393,-0.2954,6.45917,-0.084366,-0.0291743
8.85843,-0.0375128,0.802607,-0.295414,6.63524,-0.0895812,-0.029831
8.87256,-0.0372689,0.794907,-0.295429,6.81224,-0.095124,-0.0304951
8.88836,-0.0370559,0.788461,-0.295442,7.00097,-0.100961,-0.0312116
8.89995,-0.036824,0.780443,-0.295459,7.16856,-0.106827,-0.031826
8.91391,-0.0366126,0.774313,-0.295472,7.35527,-0.113225,-0.03252
8.92634,-0.0363997,0.767498,-0.295489,7.52695,-0.11926,-0.0331449
8.94145,-0.0362506,0.762178,-0.295512,7.71392,-0.125532,-0.0338499
8.95369,-0.036092,0.751666,-0.295527,7.89384,-0.132124,-0.0345173
8.9664,-0.0359334,0.741629,-0.295544,8.07198,-0.138541,-0.0351724
8.97954,-0.0357288,0.731489,-0.295551,8.24169,-0.144367,-0.0357704
8.99322,-0.0355515,0.72295,-0.295567,8.42191,-0.150761,-0.0364151
9.00469,-0.0353663,0.715116,-0.295582,8.61216,-0.158506,-0.0370905
9.01514,-0.0351587,0.701809,-0.295588,8.79001,-0.165656,-0.0377021
9.02536,-0.0349456,0.688702,-0.295596,8.96312,-0.17261,-0.0382869
9.03782,-0.03479,0.677782,-0.295613,9.14592,-0.17959,-0.0389277
9.04873,-0.0346339,0.666951,-0.29563,9.32638,-0.186944,-0.0395543
9.06157,-0.0344989,0.653718,-0.295646,9.51898,-0.194397,-0.040232
9.0709,-0.0343038,0.638192,-0.295653,9.69353,-0.201733,-0.0408098
9.07872,-0.0340853,0.623741,-0.295661,9.87032,-0.209724,-0.0413801
9.08597,-0.0338186,0.610622,-0.295679,10.0518,-0.21825,-0.0419402
9.09562,-0.0335843,0.599581,-0.295696,10.2436,-0.226782,-0.0425466
9.10181,-0.0332749,0.586794,-0.295716,10.4186,-0.235287,-0.0430494
9.10828,-0.0329901,0.57048,-0.295734,10.6091,-0.244536,-0.0436129
9.11515,-0.0327238,0.555537,-0.295761,10.8045,-0.254034,-0.0441953
9.11816,-0.0323766,0.536669,-0.295797,10.973,-0.262854,-0.0446351
9.12221,-0.0320273,0.520317,-0.295819,11.147,-0.271768,-0.0450849
9.1293,-0.0317495,0.507784,-0.295837,11.3395,-0.281052,-0.0456265
9.13565,-0.0314186,0.493486,-0.295859,11.5134,-0.289304,-0.0460696
9.14348,-0.0311375,0.481755,-0.295867,11.6992,-0.297959,-0.0465705
9.1496,-0.030825,0.470152,-0.295875,11.8832,-0.30706,-0.0470423
9.15473,-0.0305364,0.459481,-0.295868,12.0724,-0.316867,-0.0475356
9.15882,-0.0301823,0.448068,-0.295861,12.2498,-0.326233,-0.0479494
9.16441,-0.0298399,0.438438,-0.295854,12.4366,-0.3358,-0.0483919
9.16882,-0.0294378,0.428366,-0.295833,12.6145,-0.345162,-0.048766
9.17239,-0.0290393,0.419267,-0.295826,12.7982,-0.355222,-0.0491514
9.17695,-0.0286662,0.411063,-0.295819,12.9856,-0.365249,-0.049552
9.18094,-0.0282729,0.403676,-0.295813,13.1817,-0.376076,-0.0499605
9.18329,-0.0277323,0.394697,-0.295804,13.3526,-0.385736,-0.0502044
9.18832,-0.0272918,0.388169,-0.295812,13.5457,-0.396075,-0.0505566
9.19219,-0.026776,0.380784,-0.295822,13.7215,-0.405639,-0.0508064
9.19701,-0.0262952,0.374582,-0.295814,13.9071,-0.41559,-0.0510919
9.20065,-0.0258052,0.368623,-0.295807,14.0949,-0.426084,-0.0513675
9.20397,-0.0252919,0.362597,-0.295784,14.2757,-0.43623,-0.051599
9.20764,-0.0248026,0.357326,-0.295763,14.4644,-0.446821,-0.0518541
9.21214,-0.0243376,0.352533,-0.295742,14.6555,-0.457334,-0.0521176
9.21633,-0.0237637,0.347303,-0.295701,14.8308,-0.466887,-0.0522686
9.22147,-0.0233189,0.343296,-0.295667,15.0268,-0.477558,-0.0525316
9.22415,-0.0227636,0.338534,-0.295627,15.2058,-0.487892,-0.0526799
9.22686,-0.0222436,0.334178,-0.295587,15.3876,-0.498419,-0.052842
9.22977,-0.0217021,0.330265,-0.295564,15.5748,-0.509251,-0.0529941
9.23486,-0.0211707,0.326872,-0.295541,15.761,-0.519325,-0.0531373
9.24,-0.0206411,0.32361,-0.295532,15.9447,-0.529228,-0.0532636
9.2464,-0.0201394,0.320779,-0.295524,16.1305,-0.53888,-0.0533984
9.25331,-0.0196717,0.324089,-0.295517,16.3272,-0.549418,-0.0535652
9.25758,-0.019169,0.327201,-0.295508,16.5146,-0.560263,-0.0536814
9.26103,-0.0186267,0.330422,-0.295499,16.6921,-0.570764,-0.0537428
9.26776,-0.0181998,0.338067,-0.295491,16.8814,-0.581261,-0.0538822
9.27437,-0.0177436,0.34604,-0.295464,17.0617,-0.591292,-0.0539772
9.28137,-0.0172946,0.353124,-0.295439,17.2477,-0.601589,-0.0540774
9.28934,-0.0169011,0.359294,-0.295416,17.4439,-0.612268,-0.0542187
9.29681,-0.0163928,0.366483,-0.295388,17.6207,-0.621903,-0.0542493
9.30475,-0.0159234,0.372495,-0.295346,17.8084,-0.63211,-0.0543108
9.31491,-0.0155098,0.377975,-0.295308,18.0059,-0.642275,-0.0544113
9.3231,-0.0149696,0.384177,-0.295279,18.1826,-0.651742,-0.0543939
9.33266,-0.0145074,0.389494,-0.295252,18.3702,-0.661501,-0.054428
9.34335,-0.0140668,0.39425,-0.295229,18.5671,-0.671526,-0.0544791
9.35267,-0.013515,0.399475,-0.295199,18.7468,-0.68086,-0.0544292
9.36203,-0.0130466,0.403454,-0.295175,18.9455,-0.691471,-0.0544443
9.37085,-0.0124654,0.407963,-0.295146,19.1274,-0.701119,-0.0543592
9.37936,-0.0118661,0.411887,-0.295101,19.3148,-0.711218,-0.0542583
9.38731,-0.0112383,0.415589,-0.295054,19.5002,-0.721351,-0.0541253
9.39517,-0.0106813,0.418498,-0.295013,19.5374,-0.727649,-0.0712149
9.40144,-0.00990987,0.421789,-0.294942,19.7162,-0.740464,-0.0713886
9.40935,-0.00928886,0.424462,-0.294883,19.9128,-0.754572,-0.0715604
9.41534,-0.00858905,0.427039,-0.294818,20.1001,-0.768171,-0.0716931
9.42146,-0.00766124,0.429716,-0.294748,20.4841,-0.767663,-0.0573921
9.42925,-0.00709539,0.432007,-0.294687,20.6797,-0.778947,-0.0575295
9.43883,-0.00664236,0.434251,-0.29463,20.8837,-0.790684,-0.0576568
9.44867,-0.00590982,0.437847,-0.294514,21.0457,-0.799873,-0.0577171
9.45905,-0.00539659,0.440268,-0.294429,21.2355,-0.81071,-0.0577893
9.46656,-0.00484265,0.442067,-0.294363,21.4275,-0.82196,-0.0578395
9.47683,-0.00455001,0.444238,-0.294293,21.4951,-0.776439,-0.088703
9.48567,-0.00404088,0.446096,-0.294225,21.6844,-0.793272,-0.0887747
9.49655,-0.00359303,0.448105,-0.294158,21.8766,-0.810283,-0.0888314
9.50355,-0.00308976,0.449579,-0.294086,22.0618,-0.826896,-0.0888644
9.50777,-0.00243722,0.450235,-0.294023,22.4835,-0.847842,-0.0804608
9.51823,-0.00209665,0.451613,-0.293983,22.6943,-0.864818,-0.0805008
9.52887,-0.00168766,0.453821,-0.293921,22.8665,-0.878582,-0.0805151
9.53979,-0.00136484,0.455487,-0.293871,23.057,-0.893822,-0.0805245
9.54919,-0.00105296,0.45705,-0.29379,23.2367,-0.908256,-0.0805217
9.55779,-0.000808984,0.458243,-0.293715,23.4234,-0.923356,-0.0805159
9.57247,-0.000483247,0.459855,-0.293669,23.4778,-0.841017,-0.0412129
