gps_measurement,PHI_f
-0.0746959,-0.0581592
-0.0612157,-0.0758327
-0.0922633,-0.0625914
-0.0844566,-0.0928608
-0.0444407,-0.0853219
-0.060073,-0.0450279
-0.0498878,-0.0603885
-0.056665,-0.0500932
0.0281074,-0.0565494
-0.0390624,0.0280443
-0.0734111,-0.0379048
-0.0515566,-0.0726861
-0.0316528,-0.0505691
-0.034615,-0.0308827
-0.0565736,-0.0331086
-0.0587875,-0.0554339
-0.0367539,-0.0570723
-0.00746547,-0.0356008
0.0251988,-0.00528651
-0.0117131,0.0267117
-0.139445,-0.00940344
0.00423857,-0.136941
0.00824373,0.00598523
-0.0481973,0.00979479
0.0463783,-0.0454239
0.00435828,0.0476435
0.00310736,0.00711466
0.00762454,0.00472605
0.0747703,0.00978083
0.0181269,0.0758144
-0.0535929,0.0202547
-0.0700681,-0.0522199
-0.621588,-0.0684821
-0.0557109,-0.618633
-0.0713315,-0.0577609
0.00989465,-0.0702432
-0.00441945,0.0111052
0.00427584,-0.00313829
-0.0662356,0.00615765
-0.0436214,-0.0486343
-0.023866,-0.0434014
-0.0136254,-0.023851
-0.0630367,-0.0136353
-0.0699584,-0.0629087
-0.0590385,-0.0700958
-0.0632121,-0.0593268
-0.0320394,-0.0635605
0.341701,0.346377
0.388995,0.364368
0.394082,0.404598
0.442881,0.419067
0.476003,0.460046
0.500155,0.503014
0.536291,0.518817
0.575494,0.565422
0.599285,0.595522
0.637024,0.630526
0.641985,0.658431
0.687325,0.675112
0.713344,0.709652
0.775475,0.748262
0.783807,0.799019
0.835742,0.82041
0.884553,0.86085
0.925576,0.922355
0.948962,0.951332
0.982028,0.988385
1.02953,1.00869
1.0594,1.06991
1.08382,1.08728
1.13487,1.12486
1.15602,1.16842
1.18544,1.18981
1.26347,1.21226
1.24269,1.35983
1.31305,1.26582
1.21785,1.34531
-2.94548,1.90404
-2.94327,1.9139
-2.93621,1.92925
-2.94102,1.93987
-2.94112,1.95607
-2.93534,1.96704
-2.93561,1.98411
-2.9342,1.9961
-2.93522,2.01357
2.0568,2.02579
2.11326,2.07507
2.08971,2.12558
2.12496,2.10905
2.13787,2.13814
2.15889,2.15766
2.1879,2.17212
2.19601,2.20808
2.25123,2.20977
2.26311,2.27238
2.46368,2.4418
2.46001,2.48879
2.5455,2.47711
2.57471,2.58923
2.58843,2.62059
2.73376,2.61652
2.65459,2.7522
2.69349,2.68394
2.72076,2.71281
2.79375,2.75028
2.73639,2.8133
2.73709,2.76632
2.77442,2.75686
2.91639,2.8045
2.87248,2.93617
2.92986,2.9031
2.99773,2.9993
-3.11642,-3.0553
-3.10609,-3.09565
-3.12958,-3.09286
-3.11086,-3.11664
-3.11052,-3.10133
-3.12588,-3.09784
-3.11754,-3.11825
-3.11363,-3.1076
-3.12707,-3.10763
-3.12701,-3.1194
-3.11682,-3.12288
-3.08531,-3.11279
-3.12086,-3.08382
3.12526,-3.12079
3.08485,-3.12207
3.07339,-3.12653
3.06843,-3.13061
3.04719,-3.13909
3.02145,3.13742
2.99422,3.00995
2.95514,2.98511
2.9344,2.93953
2.8897,2.92286
2.87056,2.87094
2.8555,2.85699
2.81282,2.83379
2.77027,2.79755
2.76928,2.74586
2.73985,2.75212
2.68681,2.71272
2.65741,2.66467
2.63921,2.63375
2.59569,2.61965
2.5529,2.56552
2.52154,2.53276
2.4919,2.48967
2.46481,2.47021
2.42439,2.43184
2.40328,2.40118
2.3347,2.36866
2.31174,2.31066
2.29173,2.27522
2.24505,2.26694
2.20765,2.2069
2.14975,2.18156
2.12891,2.10977
2.09214,2.10141
